Designator,Mid X,Mid Y,Rotation,Layer
SW3,170.95,-60.75,0.0,top
SW5,170.9,-66.3,0.0,top
TH1,139.28,-125.18,0.0,top
U1,80.635535,-122.060534,0.0,top
U10,154.24,-184.935534,180.0,top
U11,123.0925,-90.0425,90.0,top
U12,85.44625,-200.76625,180.0,bottom
U13,73.6,-59.425,270.0,top
U14,136.5,-202.9,270.0,bottom
U15,115.4,-64.6375,90.0,bottom
U16,92.3,-57.05,270.0,bottom
U17,65.925,-60.6,90.0,top
U19,93.510001,-96.470001,270.0,top
U2,138.015535,-117.298034,0.0,top
U20,123.425,-172.55,90.0,top
U3,143.245,-167.575,270.0,top
U5,87.660535,-163.449534,90.0,bottom
U6,128.355,-183.7,270.0,top
U7,143.575,-184.325,270.0,top
U8,162.8,-165.25,90.0,top
U9,102.25,-141.0625,0.0,top
Y1,80.960535,-135.610534,0.0,top
Y2,102.95,-137.15,0.0,top
